Jogador,Idade,Selecao,Posicao,Time,URL
Abdelhamid Sabiri,26,Morocco,MF,IT Sampdoria,https://www.worldometers.info//img/flags/small/tn_mo-flag.gif
Romain Saïss,32,Morocco,DF,TR Beşiktaş,https://www.worldometers.info//img/flags/small/tn_mo-flag.gif
Bukayo Saka,21,England,FW,ENG Arsenal,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
Hiroki Sakai,32,Japan,DFMF,JP Urawa Reds,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Youstin Salas,26,Costa Rica,MF,CR Deportivo Saprissa,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
Mohammed Salisu,23,Ghana,DF,ENG Southampton,https://www.worldometers.info//img/flags/small/tn_gh-flag.gif
Tarek Salman,24,Qatar,DF,QA Al Sadd SC,https://www.worldometers.info//img/flags/small/tn_qa-flag.gif
Alex Sandro,31,Brazil,DF,IT Juventus,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Leroy Sané,26,Germany,FW,DE Bayern Munich,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Na Sang-ho,26,Korea Republic,FW,KR FC Seoul,https://www.worldometers.info//img/flags/small/tn_ks-flag.gif
Josh Sargent,22,United States,FW,ENG Norwich City,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Jeremy Sarmiento,20,Ecuador,MFFW,ENG Brighton,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
Ismaila Sarr,24,Senegal,FWMF,ENG Watford,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
Ferjani Sassi,30,Tunisia,MFDF,QA Al Duhail SC,https://www.worldometers.info//img/flags/small/tn_ts-flag.gif
Nico Schlotterbeck,22,Germany,DF,DE Dortmund,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Kasper Schmeichel,36,Denmark,GK,FR Nice,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Haris Seferović,30,Switzerland,FW,TR Galatasaray,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
Alidu Seidu,22,Ghana,DF,FR Clermont Foot,https://www.worldometers.info//img/flags/small/tn_gh-flag.gif
Antoine Semenyo,22,Ghana,MF,ENG Bristol City,https://www.worldometers.info//img/flags/small/tn_gh-flag.gif
Kim Seung-gyu,32,Korea Republic,GK,SA Al-Shabab,https://www.worldometers.info//img/flags/small/tn_ks-flag.gif
Yasser Al-Shahrani,30,Saudi Arabia,DF,SA Al-Hilal,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
Xherdan Shaqiri,31,Switzerland,FW,US Chicago Fire,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
Luke Shaw,27,England,DF,ENG Manchester Utd,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
Saad Al Sheeb,32,Qatar,GK,QA Al Sadd SC,https://www.worldometers.info//img/flags/small/tn_qa-flag.gif
Saleh Al-Shehri,29,Saudi Arabia,FW,SA Al-Hilal,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
Bernardo Silva,28,Portugal,MF,ENG Manchester City,https://www.worldometers.info//img/flags/small/tn_po-flag.gif
Thiago Silva,38,Brazil,DF,ENG Chelsea,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Unai Simón,25,Spain,GK,ES Athletic Club,https://www.worldometers.info//img/flags/small/tn_sp-flag.gif
Ellyes Skhiri,27,Tunisia,MF,DE Köln,https://www.worldometers.info//img/flags/small/tn_ts-flag.gif
Andreas Skov Olsen,22,Denmark,FWMF,BE Club Brugge,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Naïm Sliti,30,Tunisia,MFFW,SA Al-Ettifaq,https://www.worldometers.info//img/flags/small/tn_ts-flag.gif
Carlos Soler,25,Spain,MF,FR Paris S-G,https://www.worldometers.info//img/flags/small/tn_sp-flag.gif
Yuki Soma,25,Japan,FWMF,JP Grampus,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Yann Sommer,33,Switzerland,GK,DE M'Gladbach,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
Borna Sosa,24,Croatia,DF,DE Stuttgart,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Harry Souttar,24,Australia,DF,ENG Stoke City,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Djibril Sow,25,Switzerland,MF,DE Eint Frankfurt,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
Renato Steffen,31,Switzerland,FW,CH Lugano,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
Raheem Sterling,27,England,FW,ENG Chelsea,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
John Stones,28,England,DF,ENG Manchester City,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
Luis Suárez,35,Uruguay,FW,UY Nacional,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif
Niklas Süle,27,Germany,DF,DE Dortmund,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Kamaldeen Sulemana,20,Ghana,FW,FR Rennes,https://www.worldometers.info//img/flags/small/tn_gh-flag.gif
Wojciech Szczęsny,32,Poland,GK,IT Juventus,https://www.worldometers.info//img/flags/small/tn_pl-flag.gif
Sebastian Szymański,23,Poland,MF,NL Feyenoord,https://www.worldometers.info//img/flags/small/tn_pl-flag.gif
Dušan Tadić,34,Serbia,MFFW,NL Ajax,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Nicolás Tagliafico,30,Argentina,DF,FR Lyon,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Montassar Talbi,24,Tunisia,DF,FR Lorient,https://www.worldometers.info//img/flags/small/tn_ts-flag.gif
Hassan Al Tambakti,23,Saudi Arabia,DF,SA Al-Shabab,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
Ao Tanaka,24,Japan,MF,DE Düsseldorf,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Mehdi Taremi,30,IR Iran,FW,PT Porto,https://www.worldometers.info//img/flags/small/tn_ir-flag.gif
Kenneth Taylor,20,Netherlands,MF,NL Ajax,https://www.worldometers.info//img/flags/small/tn_nl-flag.gif
Aurélien Tchouaméni,22,France,MF,ES Real Madrid,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Yeltsin Tejeda,30,Costa Rica,MF,CR Club Sport Herediano,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
Alex Telles,29,Brazil,DF,ES Sevilla,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Sorba Thomas,23,Wales,MF,ENG Huddersfield,https://www.worldometers.info//img/flags/small/tn_cy-flag.gif
Marcus Thuram,25,France,FW,DE M'Gladbach,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Youri Tielemans,25,Belgium,MF,ENG Leicester City,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Jurrien Timber,21,Netherlands,DF,NL Ajax,https://www.worldometers.info//img/flags/small/tn_nl-flag.gif
Karl Toko Ekambi,30,Cameroon,FW,FR Lyon,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Nouhou Tolo,25,Cameroon,DF,US Seattle,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Takehiro Tomiyasu,24,Japan,DF,ENG Arsenal,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Mehdi Torabi,28,IR Iran,MF,IR Persepolis,https://www.worldometers.info//img/flags/small/tn_ir-flag.gif
Félix Torres Caicedo,25,Ecuador,DF,MX Santos,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
Ferrán Torres,22,Spain,FW,ES Barcelona,https://www.worldometers.info//img/flags/small/tn_sp-flag.gif
Gerson Torres,25,Costa Rica,MF,CR Club Sport Herediano,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
Kieran Trippier,32,England,DF,ENG Newcastle Utd,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
Leandro Trossard,27,Belgium,MFDF,ENG Brighton,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Matt Turner,28,United States,GK,ENG Arsenal,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Ayase Ueda,24,Japan,FW,BE Cercle Brugge,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Hwang Ui-jo,30,Korea Republic,FWMF,GR Olympiacos,https://www.worldometers.info//img/flags/small/tn_ks-flag.gif
Dayot Upamecano,24,France,DF,DE Bayern Munich,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Enner Valencia,33,Ecuador,FWMF,TR Fenerbahçe,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
Federico Valverde,24,Uruguay,MF,ES Real Madrid,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif
Virgil van Dijk,31,Netherlands,DF,ENG Liverpool,https://www.worldometers.info//img/flags/small/tn_nl-flag.gif
Raphaël Varane,29,France,DF,ENG Manchester Utd,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Guillermo Varela,29,Uruguay,DF,BR Flamengo,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif
Ruben Vargas,24,Switzerland,FW,DE Augsburg,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
Matías Vecino,31,Uruguay,MF,IT Lazio,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif
Alexis Vega,25,Mexico,FW,MX Guadalajara,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif
Miloš Veljković,27,Serbia,DF,DE Werder Bremen,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Jan Vertonghen,35,Belgium,DF,BE Anderlecht,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Matías Viña,25,Uruguay,DF,IT Roma,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif
Steven Vitória,35,Canada,DF,PT Chaves,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Dušan Vlahović,22,Serbia,FW,IT Juventus,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Nikola Vlašić,25,Croatia,FW,IT Torino,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Mohammed Waad,23,Qatar,MFDF,QA Al Sadd SC,https://www.worldometers.info//img/flags/small/tn_qa-flag.gif
Kyle Walker,32,England,DF,ENG Manchester City,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
Danny Ward,29,Wales,GK,ENG Leicester City,https://www.worldometers.info//img/flags/small/tn_cy-flag.gif
Kendall Waston,34,Costa Rica,DF,CR Deportivo Saprissa,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
Timothy Weah,22,United States,FW,FR Lille,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Wout Weghorst,30,Netherlands,FW,TR Beşiktaş,https://www.worldometers.info//img/flags/small/tn_nl-flag.gif
Silvan Widmer,29,Switzerland,DF,DE Mainz 05,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
Iñaki Williams,28,Ghana,FW,ES Athletic Club,https://www.worldometers.info//img/flags/small/tn_gh-flag.gif
Neco Williams,21,Wales,DF,ENG Nott'ham Forest,https://www.worldometers.info//img/flags/small/tn_cy-flag.gif
Nico Williams,20,Spain,FW,ES Athletic Club,https://www.worldometers.info//img/flags/small/tn_sp-flag.gif
Callum Wilson,30,England,FW,ENG Newcastle Utd,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
Harry Wilson,25,Wales,MFFW,ENG Fulham,https://www.worldometers.info//img/flags/small/tn_cy-flag.gif
Axel Witsel,33,Belgium,MF,ES Atlético Madrid,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Jeong Woo-yeong,23,Korea Republic,MF,DE Freiburg,https://www.worldometers.info//img/flags/small/tn_ks-flag.gif
Jung Woo-young,32,Korea Republic,MF,QA Al Sadd SC,https://www.worldometers.info//img/flags/small/tn_ks-flag.gif
Haji Wright,24,United States,FW,TR Antalyaspor,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Granit Xhaka,30,Switzerland,MF,ENG Arsenal,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
Miki Yamane,28,Japan,DFMF,JP Kawa Frontale,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Jawad El Yamiq,30,Morocco,DF,ES Valladolid,https://www.worldometers.info//img/flags/small/tn_mo-flag.gif
Taha Yassine Khenissi,30,Tunisia,FW,KW Kuwait SC,https://www.worldometers.info//img/flags/small/tn_ts-flag.gif
DeAndre Yedlin,29,United States,DF,US Inter Miami,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Maya Yoshida,34,Japan,DF,DE Schalke 04,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Kim Young-gwon,32,Korea Republic,DF,KR Ulsan Hyundai,https://www.worldometers.info//img/flags/small/tn_ks-flag.gif
Nicola Zalewski,20,Poland,MF,IT Roma,https://www.worldometers.info//img/flags/small/tn_pl-flag.gif
Andre-Frank Zambo Anguissa,27,Cameroon,MF,IT Napoli,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Álvaro Zamora,20,Costa Rica,MF,CR Deportivo Saprissa,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
Piotr Zieliński,28,Poland,MFFW,IT Napoli,https://www.worldometers.info//img/flags/small/tn_pl-flag.gif
Walker Zimmerman,29,United States,DF,US Nashville,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Andrija Živković,26,Serbia,DF,GR PAOK,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Hakim Ziyech,29,Morocco,FW,ENG Chelsea,https://www.worldometers.info//img/flags/small/tn_mo-flag.gif
Filip Đuričić,30,Serbia,FW,IT Sampdoria,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
